,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
27,0.235,0.492,11,-7.666,1,0.0362,0.666,3.96e-06,0.167,0.211,140.61,2tnJyIuxWtKgITyraMXYmk
28,0.565,0.744,7,-5.817,1,0.0446,0.403,0.0,0.0853,0.415,134.068,3aaiAWCet6sbfOfLSn3g7i
29,0.675,0.579,4,-11.976,1,0.0308,0.369,3.38e-06,0.118,0.724,97.01,3tgdOveYac7YMEAQD9sGLf
30,0.634,0.596,0,-8.999,0,0.041,0.415,0.000151,0.0911,0.515,153.947,4hqAJpUuIBHDUpM5LlNZap
31,0.499,0.541,11,-10.463,1,0.0448,0.744,0.00167,0.0579,0.381,81.198,3vjkllvtOIKpVvXSWsu1ta
32,0.504,0.787,7,-5.948,0,0.0605,0.412,0.0,0.323,0.49,114.772,6ocOeSjnWPcSTaSsi0zIdY
33,0.398,0.292,0,-12.256,1,0.041,0.898,1.49e-05,0.112,0.154,127.339,7cLL8r2zejJqJJrpkybCiM
34,0.637,0.573,11,-6.69,0,0.0491,0.279,3.46e-06,0.0617,0.704,90.017,0u8wprNfOdcWpUlWnfMcpP
35,0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988,6TGX01ExmdHyOG72fqUU3Q
36,0.685,0.41,4,-6.725,1,0.0273,0.87,0.0,0.124,0.601,110.965,6BQWmYuo5aO5och7iUg6Oj
37,0.554,0.606,1,-12.312,1,0.0722,0.578,0.000183,0.11,0.584,93.922,6oUK2k9OJ0WvmVveyauFB7
38,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,7eQl3Yqv35ioqUfveKHitE
39,0.656,0.762,9,-6.328,1,0.0315,0.549,0.0,0.139,0.558,110.002,1vgVsR5rkXGP4NmUcoroJH
40,0.52,0.484,7,-8.399,1,0.0327,0.228,0.00143,0.15,0.421,124.136,62VUSRdvSo53fRsfveton5
41,0.449,0.421,4,-8.92,1,0.0272,0.387,0.000108,0.11,0.203,163.747,3hp6JfJIxkv3sl7E6p7DQj
42,0.511,0.767,2,-5.699,1,0.0524,0.651,0.0,0.153,0.463,79.923,4rSmmC6OYmjVOYxr8ruVWN
43,0.574,0.38,10,-8.779,1,0.0296,0.663,0.0,0.122,0.342,92.001,324iODOMWqMOneHk6KR6oq
44,0.41,0.455,4,-8.071,1,0.0316,0.731,0.0,0.185,0.361,90.993,55LK166LWHOpXOroZ5g82J
45,0.386,0.815,11,-3.395,1,0.0417,0.707,0.0,0.159,0.349,124.293,3beYHVCFKzbdNjJqjKeYpM
46,0.408,0.644,2,-4.276,1,0.053,0.158,2.32e-06,0.0822,0.268,143.507,46wPnU9FUjYEm8vYLujq4i
47,0.473,0.698,6,-4.95,1,0.0412,0.643,0.0,0.167,0.309,143.917,3oKzTVB3MsspD89WtiLmX7
48,0.538,0.512,8,-7.909,1,0.0359,0.494,0.0,0.108,0.567,139.856,4EHa33GDXoVWGXYOO3cEGm
49,0.486,0.382,6,-6.183,1,0.0286,0.613,8.56e-05,0.149,0.164,125.918,5nHwX7e5XHnie22nuTFgda
50,0.36,0.59,4,-6.24,1,0.0351,0.567,0.000336,0.124,0.345,77.682,68lItC3iR8nEV92Bo0vcUO
51,0.523,0.557,7,-7.799,1,0.0293,0.813,0.000581,0.0958,0.196,111.766,1awtp7rf6ajhGY9BgzCHeZ
52,0.567,0.298,8,-11.243,1,0.0291,0.835,0.000804,0.117,0.217,129.733,6wsMVa2M6Ktea2UbnVoMvO
53,0.705,0.744,4,-5.416,0,0.0341,0.582,0.0,0.2,0.706,115.959,3OLFqbd9ZeVjaUKTiaLsD6
54,0.555,0.496,9,-7.175,1,0.0329,0.64,0.0,0.0767,0.391,82.229,3FLJR1N1dxOYEpZCsTX8p6
55,0.575,0.655,8,-7.464,1,0.0427,0.604,0.000388,0.094,0.703,82.077,4dljlmVE5RTpAiEwCi6kkD
56,0.612,0.665,10,-6.95,1,0.0397,0.261,8.24e-06,0.252,0.55,77.985,7iWL92TbB50nFTdZMfrEWg
57,0.591,0.462,5,-9.77,1,0.0281,0.64,6.44e-05,0.108,0.323,114.02,1Dw8GkFpFjUpNTUpfF5lee
58,0.59,0.414,10,-12.391,1,0.0346,0.781,0.000522,0.146,0.292,82.002,53DXM0bHfB7xkqJZYlksuh
59,0.784,0.679,1,-5.797,1,0.0357,0.0882,0.000105,0.0886,0.311,100.037,0kpDAFocaQpfN0UwXAWIJi
60,0.649,0.716,7,-3.936,1,0.0384,0.268,4.51e-06,0.603,0.639,86.949,4Y1Sd0fSSxHEMrWkd2x3EW
