,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
141,11acrZ5o6QredI03M4sAsp,55,0.531,11,-14.632,0,0.0407,0.393,7.61e-06,0.285,0.672,97.074,458815,4
142,2a3n5TYKM0148R243gAKgT,34,0.828,8,-5.203,1,0.0308,0.287,0.0,0.282,0.606,132.014,240327,4
143,5aXsYlFhJIOHCvxnna7jdP,59,0.852,5,-3.107,1,0.154,0.16,0.0,0.261,0.963,129.982,146983,4
144,1NfNC8BKQSbWyhwZgLvrfY,57,0.664,2,-7.262,1,0.0377,0.226,0.0,0.121,0.109,97.893,219870,4
145,4wNLPh3T8dxrJwC32MzIUd,50,0.745,2,-4.523,1,0.0929,0.326,0.0,0.0933,0.186,80.687,223399,3
146,3KJiPsjcEON0tNYApx0CmR,52,0.406,4,-8.676,0,0.0261,0.733,0.000131,0.0851,0.251,101.915,277682,4
147,1O3OJgr9agQKZCSwKXTw6P,31,0.864,2,-3.576,1,0.0368,0.14,8.49e-05,0.0744,0.462,100.038,192221,4
148,29bUoxq3BOASHIdHCH7JGm,45,0.818,7,-7.55,0,0.048,0.537,1.77e-06,0.181,0.707,110.023,209036,4
149,3Xcc5l56PFT7gOBPcT6bP8,35,0.486,7,-7.269,0,0.0351,0.531,0.0,0.247,0.41,78.784,320110,4
150,4FcG2PaCzN4YywWR9cluFs,40,0.807,1,-5.482,1,0.0944,0.0261,0.00096,0.058,0.721,98.086,210184,4
151,09xLwwXCwGcNK9nU20cwQM,31,0.716,0,-9.984,1,0.0828,0.678,0.0,0.102,0.65,82.882,434453,4
152,0l6g8Z8mqGbGXFOjigYetD,66,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,289999,4
153,0H2iJVgorRR0ZFgRqGUjUM,67,0.788,9,-4.821,0,0.0446,0.237,2.49e-05,0.106,0.746,90.066,289333,4
154,4QEytRwdtpdbexU2ZFVZbj,42,0.32,8,-8.648,1,0.0301,0.857,1.09e-05,0.0917,0.456,135.029,240953,3
155,2eJMyfvSXBrukjb56VkTrZ,49,0.0164,1,-21.284,1,0.0484,0.995,0.964,0.1,0.568,73.109,87000,4
156,3kHDA43cBTx63KEZm7M8rq,48,0.646,3,-7.187,1,0.05,0.308,0.0,0.196,0.288,128.045,277292,4
157,4JQxGJ8jsKW8pOUVoAgOZr,67,0.659,9,-6.348,1,0.0373,0.159,0.0129,0.0782,0.547,125.965,210952,4
158,01d8tSqJUrPlK1l8FwgsCF,50,0.666,7,-7.028,0,0.0274,0.046,0.0,0.106,0.117,113.99,251992,4
159,3hkC9EHFZNQPXrtl8WPHnX,71,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,341055,4
160,7eQl3Yqv35ioqUfveKHitE,73,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,321225,4
161,11WazXx5NPTDhliDaHWvV5,23,0.592,7,-8.416,1,0.0918,0.398,0.0,0.201,0.379,170.024,259765,4
162,4ws4fIFJDtQAjNQ53KYVl2,53,0.567,9,-5.703,1,0.0338,0.589,1.01e-06,0.178,0.862,79.992,312240,4
